异味类型,分类,严重程度,文件路径,起始行,结束行,描述,维护问题,重构建议,是否误报,检测时间
temporary_field,maintainability,medium,demo_project/frontend/api_client.js,5,5,临时字段 'this.cache' 仅使用 2 次，可能是临时字段异味。,临时字段使得对象的状态不可预测，某些属性只在特定场景下有值，增加理解和调试难度。,将 'this.cache' 及其相关方法提取为独立类，或将该字段作为方法参数传递。,否,2026-05-31 15:54:22
temporary_field,maintainability,medium,demo_project/frontend/api_client.js,11,11,临时字段 'this.timeout' 仅使用 1 次，可能是临时字段异味。,临时字段使得对象的状态不可预测，某些属性只在特定场景下有值，增加理解和调试难度。,将 'this.timeout' 及其相关方法提取为独立类，或将该字段作为方法参数传递。,否,2026-05-31 15:54:22
temporary_field,maintainability,medium,demo_project/frontend/api_client.js,12,12,临时字段 'this.headers' 仅使用 1 次，可能是临时字段异味。,临时字段使得对象的状态不可预测，某些属性只在特定场景下有值，增加理解和调试难度。,将 'this.headers' 及其相关方法提取为独立类，或将该字段作为方法参数传递。,否,2026-05-31 15:54:22
long_function,complexity,high,demo_project/tests/test_helpers.py,4,59,函数 'long_test_function_1' 有 56 行（超过阈值 50 行）。,过长的函数难以理解、测试和维护。单个函数承担过多职责会增加修改风险。,将函数 'long_test_function_1' 拆分为多个较小的函数，每个函数只做一件事。 可使用 --autofix 尝试自动拆分此函数。,否,2026-05-31 15:54:22
long_function,complexity,high,demo_project/utils/data_processor.py,1,94,函数 'very_long_data_processing_function' 有 94 行（超过阈值 50 行）。,过长的函数难以理解、测试和维护。单个函数承担过多职责会增加修改风险。,将函数 'very_long_data_processing_function' 拆分为多个较小的函数，每个函数只做一件事。 可使用 --autofix 尝试自动拆分此函数。,否,2026-05-31 15:54:22
temporary_field,maintainability,medium,demo_project/backend/auth.py,4,4,临时字段 'self.sessions' 仅在 2 个方法中使用，可能是临时字段异味。,临时字段使得对象的状态不可预测，某些属性只在特定场景下有值，其他时候为 None 或未定义，增加理解和调试难度。,将 'self.sessions' 及其相关方法提取为独立类，或将该字段作为方法参数传递而非存储为实例属性。,否,2026-05-31 15:54:22
temporary_field,maintainability,medium,demo_project/backend/auth.py,5,5,临时字段 'self.tokens' 仅在 2 个方法中使用，可能是临时字段异味。,临时字段使得对象的状态不可预测，某些属性只在特定场景下有值，其他时候为 None 或未定义，增加理解和调试难度。,将 'self.tokens' 及其相关方法提取为独立类，或将该字段作为方法参数传递而非存储为实例属性。,否,2026-05-31 15:54:22
temporary_field,maintainability,medium,demo_project/backend/auth.py,6,6,临时字段 'self.blacklist' 仅在 1 个方法中使用，可能是临时字段异味。,临时字段使得对象的状态不可预测，某些属性只在特定场景下有值，其他时候为 None 或未定义，增加理解和调试难度。,将 'self.blacklist' 及其相关方法提取为独立类，或将该字段作为方法参数传递而非存储为实例属性。,否,2026-05-31 15:54:22
temporary_field,maintainability,medium,demo_project/backend/auth.py,7,7,临时字段 'self.permissions' 仅在 1 个方法中使用，可能是临时字段异味。,临时字段使得对象的状态不可预测，某些属性只在特定场景下有值，其他时候为 None 或未定义，增加理解和调试难度。,将 'self.permissions' 及其相关方法提取为独立类，或将该字段作为方法参数传递而非存储为实例属性。,否,2026-05-31 15:54:22
temporary_field,maintainability,medium,demo_project/backend/auth.py,8,8,临时字段 'self.roles' 仅在 2 个方法中使用，可能是临时字段异味。,临时字段使得对象的状态不可预测，某些属性只在特定场景下有值，其他时候为 None 或未定义，增加理解和调试难度。,将 'self.roles' 及其相关方法提取为独立类，或将该字段作为方法参数传递而非存储为实例属性。,否,2026-05-31 15:54:22
temporary_field,maintainability,medium,demo_project/backend/auth.py,12,12,临时字段 'self.cache' 仅在 1 个方法中使用，可能是临时字段异味。,临时字段使得对象的状态不可预测，某些属性只在特定场景下有值，其他时候为 None 或未定义，增加理解和调试难度。,将 'self.cache' 及其相关方法提取为独立类，或将该字段作为方法参数传递而非存储为实例属性。,否,2026-05-31 15:54:22
temporary_field,maintainability,medium,demo_project/backend/auth.py,13,13,临时字段 'self.rate_limits' 仅在 1 个方法中使用，可能是临时字段异味。,临时字段使得对象的状态不可预测，某些属性只在特定场景下有值，其他时候为 None 或未定义，增加理解和调试难度。,将 'self.rate_limits' 及其相关方法提取为独立类，或将该字段作为方法参数传递而非存储为实例属性。,否,2026-05-31 15:54:22
temporary_field,maintainability,medium,demo_project/backend/auth.py,15,15,临时字段 'self.config' 仅在 1 个方法中使用，可能是临时字段异味。,临时字段使得对象的状态不可预测，某些属性只在特定场景下有值，其他时候为 None 或未定义，增加理解和调试难度。,将 'self.config' 及其相关方法提取为独立类，或将该字段作为方法参数传递而非存储为实例属性。,否,2026-05-31 15:54:22
temporary_field,maintainability,medium,demo_project/backend/auth.py,16,16,临时字段 'self.logger' 仅在 1 个方法中使用，可能是临时字段异味。,临时字段使得对象的状态不可预测，某些属性只在特定场景下有值，其他时候为 None 或未定义，增加理解和调试难度。,将 'self.logger' 及其相关方法提取为独立类，或将该字段作为方法参数传递而非存储为实例属性。,否,2026-05-31 15:54:22
temporary_field,maintainability,medium,demo_project/backend/auth.py,17,17,临时字段 'self.encryption_key' 仅在 1 个方法中使用，可能是临时字段异味。,临时字段使得对象的状态不可预测，某些属性只在特定场景下有值，其他时候为 None 或未定义，增加理解和调试难度。,将 'self.encryption_key' 及其相关方法提取为独立类，或将该字段作为方法参数传递而非存储为实例属性。,否,2026-05-31 15:54:22
temporary_field,maintainability,medium,demo_project/backend/auth.py,19,39,方法 'register_user' 在条件分支中赋值实例属性，可能导致临时字段异味。,条件性赋值的属性在对象其他地方可能为 None/undefined，增加空值检查负担和运行时错误风险。,考虑引入 Null Object 模式或将条件逻辑封装到独立的策略对象中。,否,2026-05-31 15:54:22
temporary_field,maintainability,medium,demo_project/backend/auth.py,41,66,方法 'login' 在条件分支中赋值实例属性，可能导致临时字段异味。,条件性赋值的属性在对象其他地方可能为 None/undefined，增加空值检查负担和运行时错误风险。,考虑引入 Null Object 模式或将条件逻辑封装到独立的策略对象中。,否,2026-05-31 15:54:22
temporary_field,maintainability,medium,demo_project/backend/auth.py,68,75,方法 'check_permission' 在条件分支中赋值实例属性，可能导致临时字段异味。,条件性赋值的属性在对象其他地方可能为 None/undefined，增加空值检查负担和运行时错误风险。,考虑引入 Null Object 模式或将条件逻辑封装到独立的策略对象中。,否,2026-05-31 15:54:22
god_object,coupling,high,demo_project/backend/order_system.py,1,133,类 'OrderProcessor' 是上帝对象: 19 个属性（阈值 15）。,上帝对象承担了过多职责，违反单一职责原则，使得修改任何一个功能都可能影响其他功能，增加测试和调试难度。,将类 'OrderProcessor' 按职责拆分为多个小类。 当前有 19 个属性，建议将相关属性组合为值对象或独立类。 可考虑使用组合模式代替继承，让每个类只负责一个明确的功能领域。,否,2026-05-31 15:54:22
temporary_field,maintainability,medium,demo_project/backend/order_system.py,4,4,临时字段 'self.customers' 仅在 2 个方法中使用，可能是临时字段异味。,临时字段使得对象的状态不可预测，某些属性只在特定场景下有值，其他时候为 None 或未定义，增加理解和调试难度。,将 'self.customers' 及其相关方法提取为独立类，或将该字段作为方法参数传递而非存储为实例属性。,否,2026-05-31 15:54:22
temporary_field,maintainability,medium,demo_project/backend/order_system.py,5,5,临时字段 'self.products' 仅在 2 个方法中使用，可能是临时字段异味。,临时字段使得对象的状态不可预测，某些属性只在特定场景下有值，其他时候为 None 或未定义，增加理解和调试难度。,将 'self.products' 及其相关方法提取为独立类，或将该字段作为方法参数传递而非存储为实例属性。,否,2026-05-31 15:54:22
temporary_field,maintainability,medium,demo_project/backend/order_system.py,7,7,临时字段 'self.shipping' 仅在 2 个方法中使用，可能是临时字段异味。,临时字段使得对象的状态不可预测，某些属性只在特定场景下有值，其他时候为 None 或未定义，增加理解和调试难度。,将 'self.shipping' 及其相关方法提取为独立类，或将该字段作为方法参数传递而非存储为实例属性。,否,2026-05-31 15:54:22
temporary_field,maintainability,medium,demo_project/backend/order_system.py,10,10,临时字段 'self.coupons' 仅在 1 个方法中使用，可能是临时字段异味。,临时字段使得对象的状态不可预测，某些属性只在特定场景下有值，其他时候为 None 或未定义，增加理解和调试难度。,将 'self.coupons' 及其相关方法提取为独立类，或将该字段作为方法参数传递而非存储为实例属性。,否,2026-05-31 15:54:22
temporary_field,maintainability,medium,demo_project/backend/order_system.py,11,11,临时字段 'self.taxes' 仅在 1 个方法中使用，可能是临时字段异味。,临时字段使得对象的状态不可预测，某些属性只在特定场景下有值，其他时候为 None 或未定义，增加理解和调试难度。,将 'self.taxes' 及其相关方法提取为独立类，或将该字段作为方法参数传递而非存储为实例属性。,否,2026-05-31 15:54:22
temporary_field,maintainability,medium,demo_project/backend/order_system.py,12,12,临时字段 'self.discounts' 仅在 1 个方法中使用，可能是临时字段异味。,临时字段使得对象的状态不可预测，某些属性只在特定场景下有值，其他时候为 None 或未定义，增加理解和调试难度。,将 'self.discounts' 及其相关方法提取为独立类，或将该字段作为方法参数传递而非存储为实例属性。,否,2026-05-31 15:54:22
temporary_field,maintainability,medium,demo_project/backend/order_system.py,13,13,临时字段 'self.notifications' 仅在 2 个方法中使用，可能是临时字段异味。,临时字段使得对象的状态不可预测，某些属性只在特定场景下有值，其他时候为 None 或未定义，增加理解和调试难度。,将 'self.notifications' 及其相关方法提取为独立类，或将该字段作为方法参数传递而非存储为实例属性。,否,2026-05-31 15:54:22
temporary_field,maintainability,medium,demo_project/backend/order_system.py,15,15,临时字段 'self.session' 仅在 1 个方法中使用，可能是临时字段异味。,临时字段使得对象的状态不可预测，某些属性只在特定场景下有值，其他时候为 None 或未定义，增加理解和调试难度。,将 'self.session' 及其相关方法提取为独立类，或将该字段作为方法参数传递而非存储为实例属性。,否,2026-05-31 15:54:22
temporary_field,maintainability,medium,demo_project/backend/order_system.py,16,16,临时字段 'self.cache' 仅在 1 个方法中使用，可能是临时字段异味。,临时字段使得对象的状态不可预测，某些属性只在特定场景下有值，其他时候为 None 或未定义，增加理解和调试难度。,将 'self.cache' 及其相关方法提取为独立类，或将该字段作为方法参数传递而非存储为实例属性。,否,2026-05-31 15:54:22
temporary_field,maintainability,medium,demo_project/backend/order_system.py,17,17,临时字段 'self.config' 仅在 1 个方法中使用，可能是临时字段异味。,临时字段使得对象的状态不可预测，某些属性只在特定场景下有值，其他时候为 None 或未定义，增加理解和调试难度。,将 'self.config' 及其相关方法提取为独立类，或将该字段作为方法参数传递而非存储为实例属性。,否,2026-05-31 15:54:22
temporary_field,maintainability,medium,demo_project/backend/order_system.py,18,18,临时字段 'self.logger' 仅在 1 个方法中使用，可能是临时字段异味。,临时字段使得对象的状态不可预测，某些属性只在特定场景下有值，其他时候为 None 或未定义，增加理解和调试难度。,将 'self.logger' 及其相关方法提取为独立类，或将该字段作为方法参数传递而非存储为实例属性。,否,2026-05-31 15:54:22
temporary_field,maintainability,medium,demo_project/backend/order_system.py,19,19,临时字段 'self.queue' 仅在 1 个方法中使用，可能是临时字段异味。,临时字段使得对象的状态不可预测，某些属性只在特定场景下有值，其他时候为 None 或未定义，增加理解和调试难度。,将 'self.queue' 及其相关方法提取为独立类，或将该字段作为方法参数传递而非存储为实例属性。,否,2026-05-31 15:54:22
temporary_field,maintainability,medium,demo_project/backend/order_system.py,20,20,临时字段 'self.metrics' 仅在 1 个方法中使用，可能是临时字段异味。,临时字段使得对象的状态不可预测，某些属性只在特定场景下有值，其他时候为 None 或未定义，增加理解和调试难度。,将 'self.metrics' 及其相关方法提取为独立类，或将该字段作为方法参数传递而非存储为实例属性。,否,2026-05-31 15:54:22
temporary_field,maintainability,medium,demo_project/backend/order_system.py,21,21,临时字段 'self.alerts' 仅在 1 个方法中使用，可能是临时字段异味。,临时字段使得对象的状态不可预测，某些属性只在特定场景下有值，其他时候为 None 或未定义，增加理解和调试难度。,将 'self.alerts' 及其相关方法提取为独立类，或将该字段作为方法参数传递而非存储为实例属性。,否,2026-05-31 15:54:22
